frame,time_sec,elbow_angle,knee_angle,shoulder_angle,trunk_lean,hip_height,wrist_height,wrist_above_head,wrist_ahead_of_shoulder,torso_px
145,5.0,163.4,131.2,129.9,-19.7,2.819,4.052,-0.043,0.312,66.8
146,5.035,79.1,147.4,135.7,-17.6,2.939,4.201,-0.062,0.092,65.8
147,5.069,,151.2,152.2,-15.8,3.003,,,,65.3
148,5.104,82.6,141.8,144.6,-12.1,3.023,4.476,0.054,-0.233,64.5
149,5.138,60.4,139.6,127.5,-14.4,3.048,4.584,0.209,-0.151,64.5
150,5.173,103.5,128.6,128.6,-9.0,3.073,4.856,0.576,0.15,64.5
151,5.207,168.5,122.1,132.8,-5.6,2.969,4.846,0.634,0.533,64.5
152,5.242,176.1,127.6,117.9,-7.1,2.892,4.506,0.321,0.676,64.5
153,5.276,179.0,157.7,35.7,-3.9,2.839,3.326,-0.761,0.488,64.5
154,5.311,167.4,158.7,29.2,-0.5,2.708,2.878,-1.081,0.384,65.0
155,5.345,177.1,163.1,25.4,-0.5,2.546,2.773,-1.116,0.433,65.0
156,5.38,159.8,170.3,21.8,4.0,2.419,2.601,-1.302,0.462,63.1
157,5.414,156.8,166.9,21.1,1.0,2.271,2.381,-1.308,0.535,62.3
158,5.449,159.4,161.0,22.4,2.4,2.16,2.211,-1.302,0.509,61.2
159,5.483,167.9,144.9,16.8,1.1,1.952,1.982,-1.306,0.344,61.2
160,5.518,175.4,140.0,6.7,-3.4,1.789,1.728,-1.399,0.223,61.2
161,5.552,174.0,124.0,2.0,-1.0,1.752,1.626,-1.445,0.032,61.2
162,5.587,169.9,127.9,14.2,-3.0,1.747,1.669,-1.424,-0.114,62.0
163,5.621,170.0,141.7,21.3,-3.6,1.774,1.76,-1.418,-0.227,62.0
164,5.656,173.1,151.2,18.2,-5.4,1.9,1.862,-1.42,-0.17,62.0
165,5.69,173.4,163.1,13.1,-4.3,2.001,1.985,-1.379,-0.104,62.0
166,5.725,169.8,167.5,11.0,-4.5,2.131,2.064,-1.432,-0.033,61.6
167,5.759,170.2,169.7,5.8,-2.0,2.252,2.168,-1.376,0.012,61.6
168,5.794,168.7,171.0,0.4,0.7,2.247,2.229,-1.374,0.071,61.6
169,5.828,161.6,170.9,5.9,6.1,2.295,2.296,-1.351,0.147,61.6
170,5.863,165.4,175.8,11.3,0.4,2.266,2.328,-1.304,0.3,61.8
171,5.897,162.4,173.1,14.2,-0.3,2.227,2.359,-1.26,0.374,62.0
172,5.932,155.3,176.0,17.9,-0.7,2.182,2.416,-1.171,0.48,62.0
173,5.966,147.4,176.1,20.5,0.6,2.136,2.44,-1.086,0.538,62.2
174,6.001,138.5,170.4,22.6,1.6,2.069,2.472,-1.019,0.566,62.3
175,6.035,126.4,170.7,22.5,0.9,1.977,2.478,-0.87,0.59,63.0
176,6.07,121.8,167.0,21.8,1.0,1.934,2.501,-0.869,0.585,62.2
177,6.104,120.1,171.4,18.8,1.6,1.918,2.463,-0.871,0.574,62.2
178,6.139,118.7,173.8,15.6,3.6,1.993,2.43,-0.929,0.524,61.6
179,6.173,132.5,172.5,13.9,5.1,2.068,2.351,-1.041,0.434,61.4
180,6.207,146.2,169.6,11.5,3.1,2.128,2.283,-1.158,0.373,61.3
181,6.242,161.3,167.9,7.1,0.5,2.259,2.324,-1.242,0.268,59.8
182,6.276,161.1,159.5,3.9,0.8,2.424,2.515,-1.216,0.195,57.8
183,6.311,163.6,153.9,6.5,2.3,2.467,2.587,-1.171,0.186,57.6
184,6.345,178.0,154.3,14.7,1.9,2.47,2.613,-1.18,0.214,57.4
185,6.38,174.3,158.3,19.0,2.1,2.526,2.6,-1.239,0.231,56.9
186,6.414,175.0,154.6,18.5,0.5,2.52,2.661,-1.289,0.276,54.2
187,6.449,179.2,164.3,18.3,2.4,2.645,2.671,-1.337,0.277,53.0
188,6.483,177.2,156.4,16.6,2.2,2.495,2.572,-1.37,0.271,53.0
189,6.518,177.8,157.6,18.6,5.0,2.573,2.485,-1.39,0.26,53.2
190,6.552,176.7,156.6,13.8,3.9,2.488,2.471,-1.412,0.205,53.0
191,6.587,169.0,162.8,12.4,3.9,2.506,2.633,-1.251,0.073,53.0
192,6.621,,172.0,,5.0,2.546,,,,52.9
193,6.656,,174.8,,5.9,2.581,,,,52.9
194,6.69,,179.4,,6.3,2.613,,,,52.9
195,6.725,,,,6.9,2.737,,,,51.3
196,6.759,,169.5,15.0,7.0,2.833,,,,49.8
197,6.794,,172.4,15.9,6.7,2.81,,,,49.6
198,6.828,,176.0,16.6,5.9,2.766,,,,49.6
199,6.863,,,,6.7,2.758,,,,48.6
200,6.897,,,,6.8,2.717,,,,48.0
201,6.932,,,,6.5,2.741,,,,46.6
202,6.966,,,,7.6,2.775,,,,45.1
203,7.001,,174.4,,5.1,3.124,,,,40.8
204,7.035,,,,7.3,3.223,,,,39.2
205,7.07,,,,8.8,3.253,,,,38.7
206,7.104,,,,8.4,3.341,,,,38.2
207,7.139,,,,10.7,3.361,,,,38.2
208,7.173,,164.6,,12.3,3.439,,,,38.2
209,7.208,,168.5,,16.0,3.453,,,,38.2
210,7.242,,172.2,,18.1,3.352,,,,39.6
211,7.277,,177.1,,21.1,3.519,,,,40.3
212,7.311,,178.1,13.9,22.6,3.553,,,,40.8
213,7.346,,178.1,,24.3,3.626,,,,40.8
214,7.38,,175.9,14.0,25.9,3.694,,,,40.8
215,7.414,,175.7,14.6,24.9,3.749,,,,40.8
216,7.449,,168.3,11.6,25.5,3.782,,,,40.7
217,7.483,,170.3,,28.2,3.787,,,,40.6
218,7.518,,169.7,11.8,28.6,3.767,,,,40.5
219,7.552,178.7,170.3,12.8,29.3,3.754,3.647,-1.304,-0.299,40.4
220,7.587,176.5,169.3,13.0,29.0,3.695,3.558,-1.326,-0.256,40.4
221,7.621,173.7,160.6,11.8,26.6,3.632,3.53,-1.318,-0.213,40.3
222,7.656,175.6,162.7,13.4,24.9,3.671,3.581,-1.316,-0.17,39.9
223,7.69,173.8,163.2,12.7,23.9,3.658,3.577,-1.309,-0.15,40.1
224,7.725,172.2,162.3,11.1,23.0,3.704,3.606,-1.358,-0.15,40.1
225,7.759,173.3,139.8,10.3,21.9,3.768,3.668,-1.395,-0.154,40.1
226,7.794,171.4,128.9,9.7,20.6,3.867,3.809,-1.314,-0.12,39.9
227,7.828,171.1,132.7,10.1,16.3,3.973,3.922,-1.318,-0.035,39.8
228,7.863,172.1,129.5,9.9,14.4,4.057,4.036,-1.304,-0.011,39.6
229,7.897,166.3,137.5,8.8,14.9,4.182,4.176,-1.271,0.001,39.2
230,7.932,166.3,134.5,9.7,16.9,4.427,4.381,-1.333,-0.017,37.7
231,7.966,171.6,136.8,11.7,16.8,4.468,4.4,-1.378,-0.026,37.5
